District Number,District Name,School Number,School Name,Grade,Group,2014 Total Tested,2014 n Unsatisfactory,2014 % Unsatisfactory,2014 n Partially Proficient,2014 % Partially Proficient,2014 n Proficient,2014 % Proficient,2014 n Advanced,2014 % Advanced,2014 % Proficient and Advanced,2014 n No Score,2014 % No Score
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN,3,F,42,0,0.0,10,23.8,16,38.1,16,38.1,76.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN,3,M,46,3,6.5,4,8.7,21,45.7,18,39.1,84.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN,4,F,40,1,2.5,5,12.5,25,62.5,9,22.5,85.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN,4,M,48,3,6.3,8,16.7,23,47.9,14,29.2,77.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN,5,F,55,1,1.8,5,9.1,21,38.2,28,50.9,89.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN,5,M,55,3,5.5,10,18.2,22,40.0,20,36.4,76.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MTN E,3,F,36,7,19.4,12,33.3,15,41.7,2,5.6,47.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MTN E,3,M,33,4,12.1,15,45.5,11,33.3,3,9.1,42.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MTN E,4,F,36,6,16.7,11,30.6,17,47.2,1,2.8,50.0,1,2.8
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MTN E,4,M,35,15,42.9,8,22.9,9,25.7,3,8.6,34.3,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MTN E,5,F,36,9,25.0,14,38.9,10,27.8,3,8.3,36.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MTN E,5,M,43,7,16.3,17,39.5,11,25.6,8,18.6,44.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELE,3,F,30,1,3.3,5,16.7,19,63.3,5,16.7,80.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELE,3,M,45,4,8.9,9,20.0,18,40.0,14,31.1,71.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELE,4,F,30,2,6.7,12,40.0,11,36.7,5,16.7,53.3,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELE,4,M,34,1,2.9,8,23.5,21,61.8,4,11.8,73.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELE,5,F,36,1,2.8,10,27.8,13,36.1,12,33.3,69.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELE,5,M,34,5,14.7,13,38.2,8,23.5,8,23.5,47.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HGTS,3,F,60,15,25.0,25,41.7,17,28.3,2,3.3,31.7,1,1.7
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HGTS,3,M,52,15,28.8,15,28.8,18,34.6,3,5.8,40.4,1,1.9
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HGTS,4,F,36,6,16.7,14,38.9,14,38.9,2,5.6,44.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HGTS,4,M,63,14,22.2,17,27.0,29,46.0,3,4.8,50.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HGTS,5,F,50,9,18.0,20,40.0,15,30.0,5,10.0,40.0,1,2.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HGTS,5,M,37,11,29.7,11,29.7,9,24.3,6,16.2,40.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,3,F,40,4,10.0,4,10.0,21,52.5,10,25.0,77.5,1,2.5
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,3,M,44,1,2.3,5,11.4,21,47.7,17,38.6,86.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,4,F,28,1,3.6,7,25.0,16,57.1,4,14.3,71.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,4,M,35,2,5.7,12,34.3,15,42.9,6,17.1,60.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,5,F,27,2,7.4,6,22.2,14,51.9,5,18.5,70.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,5,M,26,3,11.5,9,34.6,12,46.2,2,7.7,53.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,6,F,22,4,18.2,9,40.9,7,31.8,2,9.1,40.9,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAG,6,M,29,2,6.9,11,37.9,8,27.6,8,27.6,55.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ES,3,F,29,5,17.2,8,27.6,11,37.9,5,17.2,55.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ES,3,M,37,6,16.2,10,27.0,17,45.9,4,10.8,56.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ES,4,F,36,6,16.7,7,19.4,21,58.3,2,5.6,63.9,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ES,4,M,33,8,24.2,8,24.2,13,39.4,4,12.1,51.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ES,5,F,34,11,32.4,13,38.2,7,20.6,3,8.8,29.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ES,5,M,46,12,26.1,16,34.8,12,26.1,6,13.0,39.1,0,0.0
